ID,Type,Title,Status,Reason,Algo,Authors,Abstract,Categories,Published,DOI,PDF URL
ieee:6601080,journal,Novel serial code concatenation strategies for error floor mitigation of low-density parity-check and turbo product codes,✅,LDPC 에러플로어 완화용 신규 직렬 부호결합(SCC) 전략 — E(error floor) 이식 가능,✅ 알고리즘/코드 기여,"Damian Morero, Mario Hueda","This paper presents a novel multiple serial code concatenation (SCC) strategy to combat the error-floor problem in iterated sparse graph-based error correcting codes such as turbo product-codes (TPC) and low-density parity-check (LDPC) codes. Although SCC has been widely used in the past to reduce the error-floor in iterative decoders, the main stumbling block for its practical application in high-speed communication systems has been the need for long and complex outer codes. Alternative, short outer block codes with interleaving have been shown to provide a good tradeoff between complexity and performance. Nevertheless, their application to next-generation high-speed communication systems is still a major challenge as a result of the careful design of long complex interleavers needed to meet the requirements of these applications. The SCC scheme proposed in this work is based on the use of short outer block codes. Departing from techniques used in previous proposals, the long outer code and interleaver are replaced by a simple block code combined with a novel encoding/decoding strategy. This allows the proposed SCC to provide a better tradeoff between performance and complexity than previous techniques. Several application examples showing the benefits of the proposed SCC are described. Particularly, a new coding scheme suitable for high-speed optical communication is introduced.",,Spring 201,10.1109/CJECE.2013.6601080,https://ieeexplore.ieee.org/document/6601080
ieee:6365873,journal,A Rate-Compatible Puncturing Scheme for Finite-Length LDPC Codes,✅,바이너리 유한길이 LDPC rate-compatible puncturing + ACE 단사이클 기준 — 코드설계(E) 이식 가능,✅ 알고리즘/코드 기여,"Reza Asvadi, Amir H. Banihashemi","In this paper, we propose a rate-compatible puncturing scheme for finite-length low-density parity-check (LDPC) codes over the additive white Gaussian noise (AWGN) channel. The proposed method is applicable to any LDPC mother code, both regular and irregular, and constructs punctured codes which perform well in both the waterfall and the error floor regions for a wide range of code rates. The scheme selects code bits to be punctured one at a time and based on a sequence of criteria. An important selection criterion is the number of short cycles with low approximate cycle extrinsic message degree (ACE) in which a candidate bit node participates. Simulation results demonstrate that the ACE measure, which is most often the determining criterion in the final selection of the puncturing candidates, plays an important role in improving the performance of the codes in both the waterfall and the error-floor regions. These results also demonstrate that the proposed scheme is superior to the existing puncturing methods, particularly when a wide range of code rates is desirable.",,January 20,10.1109/LCOMM.2012.112812.121785,https://ieeexplore.ieee.org/document/6365873
ieee:6334510,journal,Multi-Edge-Type Low-Density Parity-Check Codes for Bandwidth-Efficient Modulation,✅,"multi-edge-type 바이너리 LDPC 코드 설계(E)+다차원 EXIT 최적화로 유한길이 짧은 블록길이 달성, 이식 가능",✅ 알고리즘/코드 기여,"Lei M. Zhang, Frank R. Kschischang","A method of designing low-density parity-check codes for bandwidth-efficient high-order modulation is proposed. A multi-edge-type LDPC code ensemble is used to improve the correspondence between modulation bit-channel capacity and bit-level protection in a bit-interleaved coded modulation system. A key innovation is the development of a multi-dimensional extrinsic information transfer (EXIT) vector field technique for the analysis and design of multi-edge-type codes. A condition, sufficient for the decoder to converge, is derived on the multi-dimensional EXIT vector field, and this condition is used as a constraint in code optimization. Code designs indicate that the proposed method produces codes matching the performance of codes designed using best available methods in ensemble threshold, and is capable of achieving identical finite-length error rates with shorter block-lengths. In addition to simplified design complexity, the resulting codes allow for low-complexity implementation and rate-adaptivity, and hence are well-suited for adaptive modulation systems.",,January 20,10.1109/TCOMM.2012.100512.120006,https://ieeexplore.ieee.org/document/6334510
ieee:11286180,journal,An LDPC Coded Cooperative MIMO Scheme Over Rayleigh Fading Channels with Unknown Channel State Information,✅,"bilayer Tanner graph용 joint Min-Sum 반복복호(C) — 부호 비의존 디코더 변형으로 바이너리 LDPC BP 이식 여지, 애매하여 in",✅ 알고리즘/코드 기여,"Shun-wai Zhang, Feng-fan Yang, Lei Tang","This paper describes a coded cooperative multiple-input multiple-output (MIMO) scheme, where structured low-density parity-check (LDPC) codes belonging to a family of repeat-accumulate (RA) codes are employed. The outage probability of the scheme over Rayleigh fading channels is deduced. In an unknown channel state information (CSI) scenario, adaptive transversal filters based on a spatio-temporal recursive least squares (ST-RLS) algorithm are adopted in the destination to realize receive diversity gain. Also, a joint ‘Min-Sum’ iterative decoding is effectively carried out in the destination. Such a decoding algorithm agrees with the bilayer Tanner graph that can be used to fully characterize two distinct structured LDPC codes employed by the source and relay. Simulation results verify the effectiveness of the adopted filter in the coded cooperative MIMO scheme. Theoretical analysis and numerical simulations show that the LDPC coded cooperative MIMO scheme can well combine cooperation diversity, multi-receive diversity, and channel coding gains, and clearly outperforms coded noncooperation schemes under the same conditions.",,January 20,10.1631/jzus.C1200207,https://ieeexplore.ieee.org/document/11286180
ieee:6320667,journal,Estimation of NAND Flash Memory Threshold Voltage Distribution for Optimum Soft-Decision Error Correction,✅,"NAND 플래시 임계전압 분포 추정→연판정 ECC 최적화, A 직접 해당",✅ 알고리즘/코드 기여,"Dong-hwan Lee, Wonyong Sung","As the feature size of NAND flash memory decreases, the threshold voltage signal becomes less reliable, and its distribution varies significantly with the number of program-erase (PE) cycles and the data retention time. We have developed parameter estimation algorithms to find the means and variances of the threshold voltage distribution that is modeled as a Gaussian mixture. The proposed methods find the best-fit parameters by minimizing the squared Euclidean distance between the measured threshold voltage values and those obtained from the Gaussian mixture model. For the parameter estimation, the gradient descent (GD) and the Levenberg-Marquardt (LM) based methods are employed. The developed algorithms are applied to both simulated and real NAND flash memory. It is also demonstrated that error correction with the estimated mean and variance values yields much better performance when compared to the method that only updates the mean.",,"Jan.15, 20",10.1109/TSP.2012.2222399,https://ieeexplore.ieee.org/document/6320667
ieee:6262475,journal,Minimum Distance and Trapping Set Analysis of Protograph-Based LDPC Convolutional Codes,✅,바이너리 protograph LDPC convolutional 코드 최소거리·trapping set 분석 — error floor/코드설계(E) 이식 가능,✅ 알고리즘/코드 기여,"David G.M. Mitchell, Ali E. Pusane, Daniel J. Costello","Low-density parity-check (LDPC) convolutional codes have been shown to be capable of achieving capacity-approaching performance with iterative message-passing decoding. In the first part of this paper, using asymptotic methods to obtain lower bounds on the free distance to constraint length ratio, we show that several ensembles of regular and irregular LDPC convolutional codes derived from protograph-based LDPC block codes have the property that the free distance grows linearly with respect to the constraint length, i.e., the ensembles are asymptotically good. In particular, we show that the free distance to constraint length ratio of the LDPC convolutional code ensembles exceeds the minimum distance to block length ratio of the corresponding LDPC block code ensembles. A large free distance growth rate indicates that codes drawn from the ensemble should perform well at high signal-to-noise ratios under maximum-likelihood decoding. When suboptimal decoding methods are employed, there are many factors that affect the performance of a code. Recently, it has been shown that so-called trapping sets are a significant factor affecting decoding failures of LDPC codes over the additive white Gaussian noise channel with iterative message-passing decoding. In the second part of this paper, we study the trapping sets of the asymptotically good protograph-based LDPC convolutional codes considered earlier. By extending the theory presented in part one and using similar bounding techniques, we show that the size of the smallest non-empty trapping set grows linearly with the constraint length for these ensembles.",,Jan. 2013,10.1109/TIT.2012.2211995,https://ieeexplore.ieee.org/document/6262475
ieee:6121923,journal,Error Detection in Majority Logic Decoding of Euclidean Geometry Low Density Parity Check (EG-LDPC) Codes,✅,EG-LDPC 다수결논리 디코딩 조기 에러검출로 메모리 접근시간 단축 — 디코더/HW 기법 이식 가능(C/D),✅ 알고리즘/코드 기여,"Pedro Reviriego, Juan A. Maestro, Mark F. Flanagan","In a recent paper, a method was proposed to accelerate the majority logic decoding of difference set low density parity check codes. This is useful as majority logic decoding can be implemented serially with simple hardware but requires a large decoding time. For memory applications, this increases the memory access time. The method detects whether a word has errors in the first iterations of majority logic decoding, and when there are no errors the decoding ends without completing the rest of the iterations. Since most words in a memory will be error-free, the average decoding time is greatly reduced. In this brief, we study the application of a similar technique to a class of Euclidean geometry low density parity check (EG-LDPC) codes that are one step majority logic decodable. The results obtained show that the method is also effective for EG-LDPC codes. Extensive simulation results are given to accurately estimate the probability of error detection for different code sizes and numbers of errors.",,Jan. 2013,10.1109/TVLSI.2011.2179681,https://ieeexplore.ieee.org/document/6121923
ieee:6301723,journal,Merging Belief Propagation and the Mean Field Approximation: A Free Energy Approach,✅,BP와 mean-field 근사를 결합한 메시지패싱 기법(수렴성·하드제약 포함). 부호 비의존적 BP 개선이라 바이너리 LDPC BP에 이식 가능(C).,✅ 알고리즘/코드 기여,"Erwin Riegler, Gunvor Elisabeth Kirkelund, Carles Navarro Manchon, Mihai-Alin Badiu, Bernard Henri Fleury","We present a joint message passing approach that combines belief propagation and the mean field approximation. Our analysis is based on the region-based free energy approximation method proposed by Yedidia et al. We show that the message passing fixed-point equations obtained with this combination correspond to stationary points of a constrained region-based free energy approximation. Moreover, we present a convergent implementation of these message passing fixed-point equations provided that the underlying factor graph fulfills certain technical conditions. In addition, we show how to include hard constraints in the part of the factor graph corresponding to belief propagation. Finally, we demonstrate an application of our method to iterative channel estimation and decoding in an orthogonal frequency division multiplexing system.",,Jan. 2013,10.1109/TIT.2012.2218573,https://ieeexplore.ieee.org/document/6301723
ieee:6517513,journal,A First Step Toward On-Chip Memory Mapping for Parallel Turbo and LDPC Decoders: A Polynomial Time Mapping Algorithm,✅,병렬 LDPC 디코더 충돌없는 on-chip 메모리 매핑 다항시간 알고리즘 — 병렬화 HW 기법 D,🔧 하드웨어 수정만,"Awais Hussain Sani, Philippe Coussy, Cyrille Chavet","To meet the higher data rate requirement of current and future communication standards, numerous techniques to decode Turbo and LDPC codes on hardware architecture are developed. Unfortunately, interleaving laws that are used in these codes often result in memory access conflicts when massively parallel architectures are targeted which considerably limits the throughput. In this article, the first dedicated approach that finds conflict free memory mapping for every type of codes and for every type of parallelism in polynomial time is presented. The implementation of this highly efficient algorithm shows significant improvement in terms of computational time compared to state of the art approaches. Ultimately, this could enable memory mapping algorithm to be embedded on chips and executed on the fly to support multiple block lengths and standards.",,"Aug.15, 20",10.1109/TSP.2013.2264057,https://ieeexplore.ieee.org/document/6517513
ieee:6466152,conference,A novel fault detection and correction technique for memory applications,✅,"EG-LDPC용 Majority Logic Detector/Decoder(MLDD)로 검출시간 단축 - 메모리 ECC 디코더 HW 기법(A/C/D), NAND 인접 적용 가능",✅ 알고리즘/코드 기여,"M. A. Jayarani, M. Jagadeeswari","As a result of technology scaling and higher integration densities there may be variations in parameters and noise levels which will lead to larger error rates at various levels of the computations. As far as memory applications are concerned the soft errors and single event upsets are always a matter of problem. The paper mainly focuses on the design of an efficient Majority Logic Detector/Decoder (MLDD) for fault detection along with correction of fault for memory applications, by considerably reducing fault detection time. The error detection and correction method is done by one step majority logic decoding and is made effective for Euclidean Geometry Low Density Parity Check Codes (EG-LDPC). Even though majority decodable codes can correct large number of errors, they need high decoding time for detection of errors and ML Decoding method may take same fault detecting time for both erroneous and error free code words, which in turn delays the memory performance. The proposed fault-detection method can detect the fault in less decoding cycles (almost in three). When the data read is error free, it can obviously reduce memory access time. The technique keeps the area overhead minimal and power consumption low for large code word sizes.",,4-6 Jan. 2,10.1109/ICCCI.2013.6466152,https://ieeexplore.ieee.org/document/6466152
